"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6167","Успешный заказ — точка входа «bottom»","tests","2026-07-16","passed","2026-07-16","TestOrder","test_order","",""
"","5019","Вопрос #0 — «Сколько это стоит? И как оплатить?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
"","7895","Логотип Самоката ведёт на главную страницу","tests","2026-07-16","passed","2026-07-16","TestOrder","test_order","",""
"","6811","Вопрос #5 — «Вы привозите зарядку вместе с самокатом?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
"","7944","Успешный заказ — точка входа «top»","tests","2026-07-16","passed","2026-07-16","TestOrder","test_order","",""
"","4327","Вопрос #6 — «Можно ли отменить заказ?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
"","4263","Вопрос #7 — «Я жду самокат, а он не приезжает. Что делать?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
"","7276","Вопрос #1 — «Хочу сделать несколько самокатов! Так можно?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
"","7812","Вопрос #4 — «Можно ли продлить заказ или вернуть самокат раньше?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
"","10462","Логотип Яндекса открывает Дзен в новом окне","tests","2026-07-16","passed","2026-07-16","TestOrder","test_order","",""
"","4131","Вопрос #2 — «Как рассчитывается время аренды?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
"","4910","Вопрос #3 — «Можно ли заказать самокат прямо на сегодня?» — открывает ответ","tests","2026-07-16","passed","2026-07-16","TestFAQ","test_faq","",""
